Gallery,Location,Slug,ID,Email,Author,Website,Image,Description,Place
Anant Art,1996,anant-art-gallery-new-delhi,234,contact@anantart.com,7,http://www.anantart.com/,https://indiaartfair.in/app/uploads/2018/01/Untitled-1-150x150.jpg,"Since opening its doors to the public in 2003, Anant Art has promoted uncompromising and imaginative presentation of contemporary Indian and South Asian artists. The gallery has a carefully structured and dynamic public programme, with several successful exhibitions, artist residencies and participation at art fairs to its credit. Featured artists include Probir Gupta, Aisha Khalid, Ghulam Mohammad, Rehana Mangi, Arslan Farooqi, Dhara Mehrotra, Digbijayee Khatua and Laxmipriya Panigrahi. ",new-delhi
Apparao Galleries,2008,apparao-galleries-new-delhi,10931,gallery@apparaoart.com,5,https://www.instagram.com/apparaogalleriesindia/?hl=en,https://indiaartfair.in/app/uploads/2019/11/Apparao-Galleries-2-150x150.jpg,"Apparao Galleries is a leading Indian gallery with outposts in Chennai and New Delhi. Since its founding in 1983, the gallery has built a strong reputation for representing an exceptional range of modern and contemporary Indian artists. Along with organising compelling exhibitions, Apparao Galleries also runs a critically engaging and ambitious outreach programme to encourage academic research and international exchange. ",new-delhi
Art Alive Gallery,1997,art-alive-gallery-new-delhi-2,238,sunaina@artalivegallery.com,7,http://www.artalivegallery.com/,https://indiaartfair.in/app/uploads/2018/01/Art-Alive-Gallery_Gallery-Image_1-2-150x150.jpg,"Established in 2001, Art Alive Gallery is committed to promoting emerging perspectives in Indian art and nurturing a culture of engagement among artists and art connoisseurs. The gallery presents a holistic showcase of contemporary, modern and emerging art from the country through its curated exhibitions and retrospectives, artist talks and extensively researched books and catalogues. ",new-delhi
Art Centrix Space,1997,art-centrix-space-new-delhi,240,info@artcentrix.com,7,https://artcentrix.com,https://indiaartfair.in/app/uploads/2018/01/Art-Centrix-Space-Gallery-Image-1a-150x150.jpg,"Founded in 2014, Art Centrix Space is nestled in a beautifully landscaped sculpture garden in New Delhi. Through its curated programme of exhibitions, collaborative projects and annual presentation at India Art Fair, the gallery highlights artists and artistic practices which draw on global inspirations while being rooted in a distinctly Indian aesthetic.  ",new-delhi
Art Explore,1997,art-explore-new-delhi,10979,info@artexplore.in,5,https://artexplore.in,https://indiaartfair.in/app/uploads/2019/11/3-India-art-fair-2020-150x150.jpg,"Established in 2016, Art Explore is a contemporary art gallery in New Delhi, India. The gallery strives to showcase compelling Indian contemporary artists. The endeavour is to appeal to all audiences, by presenting a well researched, relatable program that can be understood and enjoyed by all. ",new-delhi
Art Heritage,1997,art-heritage-new-delhi,10970,ahg@artheritagegallery.com,5,http://www.artheritagegallery.com,https://indiaartfair.in/app/uploads/2019/11/Archaeology-of-the-Self-Archives-Anarchives-and-the-Artist-2023-Courtesy-of-the-Art-Heirtage-150x150.jpg,"Art Heritage is committed to promoting awareness, education and appreciation of modern and contemporary Indian art. Since its establishment in 1977, the gallery has positioned itself as both a commercial arts space and a public museum through its scholarly programme. Curated exhibitions and retrospectives, illustrated talks, and publishing books and catalogues celebrating the work of distinguished modern masters as well as new, emerging talent form the structure of its programme. ",new-delhi
ARTDISTRICT XIII,1997,art-district-xiii-new-delhi,242,artdistrict13@gmail.com,7,http://www.artdistrict13.com/,https://indiaartfair.in/app/uploads/2018/01/IMG_0395-150x150.jpg,"ARTDISTRICT XIII was established in 2014 as a platform to unite artists and patrons in their journeys of aesthetic learning and growth. With multiple exhibitions interrogating diverse mediums ranging from painting and sculptures to installations and textile art, the gallery has cultivated relationships with eminent artists such as Jagannath Panda, Jayanta Roy, Paul Davies, Arun Kumar, Ryan Lobo and Ram Rahman amongst others. ",new-delhi
Blueprint12,1997,blueprint-12-new-delhi-2,10910,blueprint2012@gmail.com,5,http://www.blueprint12.com,https://indiaartfair.in/app/uploads/2019/11/Fields-Aflutter-2023-Courtesy-of-Blueprint12-150x150.jpg,"Blueprint.12 stands as an artist-centric contemporary art gallery with a distinct focus on the South Asian region. Guided by a vision that transcends national boundaries and a discerning perspective on shared art practices within the region, the gallery is committed to introducing art collectors to both emerging and established talents who continuously push the boundaries of their artistic expression. ",new-delhi
Bruno Art Group,2011,bruno-art-group-new-delhi-tel-aviv,260,info@brunoartgroup.com,7,https://www.brunoartgroup.com/,https://indiaartfair.in/app/uploads/2018/01/Bruno-Art-Group-150x150.jpg,"Bruno Art Group was born out of the passion to exhibit works by groundbreaking modern and contemporary Israeli artists, including legendary pioneers of the Dada and Kinetic art movements, Marcel Janco and Yaacov Agam. Since its founding in 1995, the gallery has expanded from its roots in Tel Aviv to newer locations in Singapore, India, Belgium and USA, all this while actively positioning and supporting artists from Israel and fostering cultural exchange. ",new-delhi
Chawla Art Gallery,1997,chawla-art-gallery-new-delhi,264,sc@chawla-artgallery.com,7,http://www.chawla-artgallery.com/,https://indiaartfair.in/app/uploads/2018/01/755B5670-2-150x150.jpg,"Founded in 1967, Chawla Art Gallery has enjoyed a long relationship with the arts in India. Always spotlighting stories and art by modern masters, the gallery organises curatorial exhibitions and conversations through the year. The gallery presents works across a variety of media including sculptures and installations by stalwarts such as Satish Gujral and K.S. Radhakrishnan, oil paintings by Manjit Bawa and sketches and drawings by F.N. Souza and H.A. Gade. ",new-delhi
