playlist_name,track_name,artist,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,url,cover
Your Top Songs 2023,Cómo Me Quieres,Khruangbin,225154,6,1,4,0.00612,0.55,0.536,0.884,0.372,-10.045,0.0423,0.539,85.458,https://open.spotify.com/track/3GO6bT0b1sdInk1KPCK64d,https://i.scdn.co/image/ab67616d0000b273811309a5bbc336e25df4e2ed
Your Top Songs 2023,fukumean,Gunna,125040,1,0,4,0.119,0.847,0.622,0.0,0.285,-6.747,0.0903,0.22,130.001,https://open.spotify.com/track/4rXLjWdF2ZZpXCVTfWcshS,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c
Your Top Songs 2023,Maria También,Khruangbin,190999,6,0,4,0.00252,0.746,0.632,0.859,0.542,-7.32,0.0462,0.858,103.612,https://open.spotify.com/track/2EFuKYBalAcplMyUVL3BDH,https://i.scdn.co/image/ab67616d0000b273811309a5bbc336e25df4e2ed
Your Top Songs 2023,Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver",199920,7,0,4,0.189,0.684,0.671,2.37e-05,0.122,-4.392,0.0464,0.156,88.048,https://open.spotify.com/track/2Hh3ETdQKrmSI3QS0hme7g,https://i.scdn.co/image/ab67616d0000b273c4fee55d7b51479627c31f89
Your Top Songs 2023,Into It,Chase Atlantic,196767,10,0,4,0.0503,0.518,0.572,2.41e-05,0.129,-6.706,0.0416,0.291,130.053,https://open.spotify.com/track/4HwDCXsMBC7SUdp2WT4MZP,https://i.scdn.co/image/ab67616d0000b2735a0c2870f4f309e382d1fad6
Your Top Songs 2023,Anogo,Tayc,190140,11,0,3,0.294,0.421,0.725,8.6e-05,0.0964,-6.711,0.304,0.419,75.478,https://open.spotify.com/track/6BS1eOiLRfqhvAni2Zvn5x,https://i.scdn.co/image/ab67616d0000b273f788f9cd52aac713e2816301
Your Top Songs 2023,Ode To The Mets,The Strokes,351787,1,0,4,0.341,0.426,0.617,0.181,0.101,-5.423,0.0289,0.201,92.002,https://open.spotify.com/track/1BLOVHYYlH4JUHQGcpt75R,https://i.scdn.co/image/ab67616d0000b273bfa99afb5ef0d26d5064b23b
Your Top Songs 2023,Streets Don't Love You,June Freedom,146286,6,1,4,0.0525,0.866,0.513,0.494,0.0745,-8.941,0.253,0.753,105.016,https://open.spotify.com/track/4T3YwiBwz2ng2IyLLmFpnE,https://i.scdn.co/image/ab67616d0000b273005a71511146c11bfe04563a
Your Top Songs 2023,Low,Kidda,194559,10,0,4,0.674,0.728,0.713,0.136,0.138,-7.384,0.123,0.882,102.036,https://open.spotify.com/track/67PSXs0ixoOUD03BL6UfVQ,https://i.scdn.co/image/ab67616d0000b2730d9ce83d2118e1412f716fbc
Your Top Songs 2023,01,XI,160160,5,0,4,0.344,0.485,0.595,0.446,0.111,-11.892,0.0354,0.576,159.819,https://open.spotify.com/track/3KYGLiHA4qBzPZSFECJaxd,https://i.scdn.co/image/ab67616d0000b273acb1c93fcb6d9c8337ee7aa8
Your Top Songs 2023,everything i wanted,Billie Eilish,245426,6,0,4,0.902,0.704,0.225,0.657,0.106,-14.454,0.0994,0.243,120.006,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249
Your Top Songs 2023,FOR HER,"Xavier Mayne, Chase Atlantic, ELIO",243000,8,0,4,0.0753,0.61,0.618,7.5e-05,0.109,-4.968,0.112,0.325,159.571,https://open.spotify.com/track/222I8H4WtvuCcTfAfVW0qw,https://i.scdn.co/image/ab67616d0000b2733182e6d626ab274d2de730b3
Your Top Songs 2023,Take What You Want (feat. Ozzy Osbourne & Travis Scott),"Post Malone, Ozzy Osbourne, Travis Scott",229573,1,0,4,0.0906,0.499,0.8,0.0,0.147,-2.665,0.0502,0.272,139.919,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02
Your Top Songs 2023,Khaas Hai,"J Trix, Subspace",153678,6,1,5,0.207,0.604,0.856,0.0,0.16,-5.944,0.359,0.805,86.808,https://open.spotify.com/track/7pYQZwJogqgfJYYXwLliIu,https://i.scdn.co/image/ab67616d0000b273e2efef5e03f7b505567d5b50
Your Top Songs 2023,soso,Omah Lay,183057,3,0,4,0.424,0.711,0.725,0.129,0.11,-8.315,0.0941,0.53,105.016,https://open.spotify.com/track/1wADwLSkYhrSmy4vdy6BRn,https://i.scdn.co/image/ab67616d0000b27354b6c54e83c4154c974c1059
Your Top Songs 2023,Focus (feat. 21 Savage),"Bazzi, 21 Savage",155134,1,1,4,0.00694,0.752,0.703,0.0,0.143,-5.268,0.0969,0.538,77.021,https://open.spotify.com/track/2FqqVHvC4eKrsk97vpMRid,https://i.scdn.co/image/ab67616d0000b2733a376bd9b9b1f4b2686807db
Your Top Songs 2023,Sunsetz,Cigarettes After Sex,215150,5,1,4,0.0527,0.405,0.479,0.795,0.0974,-9.396,0.0301,0.131,75.37,https://open.spotify.com/track/0SpkyS1Q4MD8GaVcP5YjT4,https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161
Your Top Songs 2023,Rush,Ayra Starr,185093,1,1,4,0.0369,0.792,0.503,0.00057,0.0959,-8.044,0.0626,0.381,99.97,https://open.spotify.com/track/1xs8bOvm3IzEYmcLJVOc34,https://i.scdn.co/image/ab67616d0000b2734828f4b04d92d6641be98cc5
Your Top Songs 2023,The Villagers,"Sumit Goswami, Jerry",183155,7,0,4,0.0345,0.779,0.83,0.0,0.0584,-3.177,0.0536,0.623,95.978,https://open.spotify.com/track/2x7iprCTkTR7WcTRkCLFBr,https://i.scdn.co/image/ab67616d0000b273ecea6eda90cb03649c9f6f1a
Your Top Songs 2023,Baby Lova,Naza,193427,10,0,4,0.271,0.728,0.641,0.0,0.0804,-5.593,0.214,0.505,97.002,https://open.spotify.com/track/3XD31ARcl4mqRq86sE5gPw,https://i.scdn.co/image/ab67616d0000b273e1a9f67054a0863247240f4b
Your Top Songs 2023,Lass es kreisen,AnnenMayKantereit,199120,10,0,4,0.0841,0.646,0.667,0.661,0.133,-6.662,0.049,0.863,100.041,https://open.spotify.com/track/6Pn5YAIhhT85vxBD3YoIzG,https://i.scdn.co/image/ab67616d0000b2736571b29e6b681b277f4f949a
Your Top Songs 2023,Human (feat. Echoes),"John Summit, Echoes",219048,5,0,4,0.00162,0.544,0.856,0.818,0.0763,-6.84,0.0314,0.233,125.992,https://open.spotify.com/track/4G4patpYxsF6ovHZOX9wgR,https://i.scdn.co/image/ab67616d0000b2731f903731aea694cc58a4ca19
Your Top Songs 2023,Maula Mere Maula,Roop Kumar Rathod,364330,0,1,4,0.458,0.548,0.737,0.00806,0.091,-7.865,0.0386,0.412,119.961,https://open.spotify.com/track/5KNuHsIeFtD0oukst77hBi,https://i.scdn.co/image/ab67616d0000b27336163aa83c42e72684a53287
Your Top Songs 2023,Mood,Makar,151690,5,0,4,0.48,0.673,0.408,0.305,0.13,-15.094,0.0554,0.407,125.003,https://open.spotify.com/track/4k6yZRw7M04gZE2uW12Cw6,https://i.scdn.co/image/ab67616d0000b273937c50b9545992f30cae5fea
Your Top Songs 2023,My Way,Frank Sinatra,276800,2,1,4,0.7,0.401,0.381,0.0,0.122,-7.458,0.0274,0.229,75.454,https://open.spotify.com/track/3spdoTYpuCpmq19tuD0bOe,https://i.scdn.co/image/ab67616d0000b27380aa6a82fce614eea8357253
Your Top Songs 2023,HOPE,NF,264473,0,0,3,0.396,0.546,0.787,0.0,0.0619,-4.023,0.212,0.497,100.559,https://open.spotify.com/track/0EgLxY52mpGsXETyEsgVlP,https://i.scdn.co/image/ab67616d0000b273ff8a4276b3be31c839557439
Your Top Songs 2023,Danza Kuduro,"Don Omar, Lucenzo",198773,0,1,3,0.0846,0.4,0.915,0.0,0.0503,-4.89,0.28,0.878,88.917,https://open.spotify.com/track/2a1o6ZejUi8U3wzzOtCOYw,https://i.scdn.co/image/ab67616d0000b2734640a26eb27649006be29a94
Your Top Songs 2023,IF THE WORLD,Josh Levi,179235,4,0,4,0.192,0.566,0.521,0.0,0.0757,-7.869,0.0738,0.221,159.868,https://open.spotify.com/track/76IbQ6ED5Cy7aDbgmi0EUS,https://i.scdn.co/image/ab67616d0000b27305a903932a0128b3c4abea8f
Your Top Songs 2023,Memories,"WE ARE FURY, RUNN",265246,2,0,4,0.0115,0.53,0.538,1.52e-06,0.138,-6.011,0.0296,0.105,140.055,https://open.spotify.com/track/3LS5pzFcv5YJ9cfkqbpgAK,https://i.scdn.co/image/ab67616d0000b273de3f1c0ac35dcf137191f8a1
Your Top Songs 2023,Sky's Still Blue,Andrew Belle,244320,6,0,4,0.0726,0.43,0.791,0.0193,0.11,-5.419,0.0302,0.217,171.864,https://open.spotify.com/track/6nXIYClvJAfi6ujLiKqEq8,https://i.scdn.co/image/ab67616d0000b273a405e255aa03ba251e9cb314
